Unnamed: 0,Dosya Adı,Cümle Sayısı,Hece Sayısı,Cümle Başına Ortalama Kelime Sayısı,Cümle Başına Ortalama Hece Sayısı,Ateşman Okunabilirlik Puanı,Ofansif Cümle Sayısı,Ofansif Cümle Oranı,Ofansif Cümle Yüzdesi,Ofansif Kelime Sayısı,Ofansif Kelime Oranı,Kelime Sayısı,Ofansif Kelime Sayısının Ofansif Olmayan Kelime Sayısına oranı,FRES,CetinKayaUzun,Ortalama Cümle Ofansifliği,Önerilen Yaş Aralığı
0,(Halikarnas Balıkçısı Bütün Eserleri_ 1) Halikarnas Balıkçısı - Aganta Burina Burinata-Bilgi Yayınevi (1983).txt,4522,104663,9.635338345864662,23.1452896948253,77.17138432336607,426,0.0942061034940291,0.10400390625,618,0.0141837460696334,43571,0.0143878192442902,217.3771113361253,47.04305715768041,0.0982659206797637,18+
1,06182758_beneklerini_kaybeden_sarY.txt,104,1565,5.605769230769231,15.04807692307692,76.34853064388442,2,0.0192307692307692,0.0196078431372549,4,0.006861063464837,583,0.006908462867012,223.8550927727933,43.62052706491622,0.0213260595046449,0-8
2,06182820_bulutun_fidanlarY.txt,54,1320,9.074074074074074,24.44444444444444,66.91513605442177,1,0.0185185185185185,0.0188679245283018,3,0.0061224489795918,490,0.0061601642710472,220.4150188964475,40.00627815570672,0.0189210472399955,0-8
3,06182909_gecmiYe_mektup.txt,91,1716,7.252747252747253,18.85714285714286,75.44032967032966,1,0.0109890109890109,0.0111111111111111,9,0.0136363636363636,660,0.0138248847926267,221.4694615384616,44.21438241758241,0.0115713767750843,0-8
4,06183001_gizemli_benekler.txt,85,1694,7.494117647058824,19.92941176470588,72.42634195216549,0,0.0,0.0,19,0.0298273155416012,637,0.0307443365695792,221.7264925662573,42.43792605042016,0.0039047404527938,0-8
5,06183054_neYeli_dere.txt,57,1400,9.491228070175438,24.56140350877193,70.08801488471642,0,0.0,0.0,1,0.0018484288354898,541,0.0018518518518518,219.0941946363135,42.35784933683561,0.0116211032676673,0-8
6,06183134_oyuncak_moli_sallanYyor.txt,94,1787,6.872340425531915,19.01063829787234,69.75394226335551,0,0.0,0.0,0,0.0,646,0.0,223.2620822080232,40.26331812792306,0.0070720893873317,0-8
7,06183200_sallanan_karYnca_yuvasY.txt,76,1902,9.447368421052632,25.02631578947368,67.74278624835068,0,0.0,0.0,12,0.0167130919220055,718,0.0169971671388102,219.6566731417681,40.80939077847822,0.0027703351753236,0-8
8,1- Aslan ile Fare.txt,44,438,4.227272727272728,9.954545454545457,93.18617302052785,1,0.0227272727272727,0.0232558139534883,4,0.021505376344086,186,0.0219780219780219,222.4662536656892,53.52312463343108,0.0338465498987881,0-8
9,12-KİBRİTÇİ KIZ-OKUMA-ANLAMA.txt,66,1540,8.787878787878787,23.33333333333333,69.21708463949842,0,0.0,0.0,7,0.0120689655172413,580,0.0122164048865619,220.3780616509927,41.29000417972831,0.0023306698227922,0-8
10,1-KELOĞLAN VE SİHİRLİ TAS-OKUMA-ANLAMA.txt,61,1006,6.737704918032787,16.49180327868853,82.90370208607555,5,0.081967213114754,0.0892857142857142,2,0.0048661800486618,411,0.0048899755501222,220.7036747636712,48.67260579952934,0.0844792114259659,0-8
11,20111318_Inci-John-Steinbeck.txt,1659,47388,10.70162748643761,28.56419529837251,63.66085263214504,49,0.0295358649789029,0.0304347826086956,282,0.0158837445082798,17754,0.0161401098901098,218.5538146440168,39.06864907869881,0.0333442006858302,15-18
12,2-KURBAĞA PRENS-OKUMA-ANLAMA.txt,71,1359,7.746478873239437,19.14084507042254,79.33791741357234,2,0.028169014084507,0.0289855072463768,4,0.0072727272727272,550,0.0073260073260073,219.8762148527529,47.08965446862997,0.031034221006131,0-8
13,3-Yalancı Çoban.txt,41,511,4.951219512195122,12.46341463414634,84.77214465937763,2,0.048780487804878,0.0512820512820512,0,0.0,203,0.0,223.1053742640875,48.5998141295206,0.0635842159305267,0-8
14,4- Sihirli Tas.txt,42,882,8.119047619047619,21.0,73.72123586091328,2,0.0476190476190476,0.05,3,0.0087976539589442,341,0.0088757396449704,220.4760434995112,43.72376253316575,0.0663874625059266,0-8
15,4-KIRMIZI BENEKLİ KELEBEK-OKUMA-ANLAMA.txt,99,1306,5.111111111111111,13.19191919191919,81.79221343873516,3,0.0303030303030303,0.03125,5,0.0098814229249011,506,0.0099800399201596,223.4827162933685,46.78694510320596,0.0305599741087379,0-8
16,5-KÜLKEDİSİ-OKUMA-ANLAMA.txt,75,1468,7.653333333333333,19.57333333333333,76.10258745644599,4,0.0533333333333333,0.056338028169014,9,0.0156794425087108,574,0.015929203539823,220.7032429732869,44.93008720092915,0.0535286560522702,0-8
17,6- Pamuk Prenses ve Yedi Cüceler.txt,56,1075,7.785714285714286,19.19642857142857,79.44895314547836,4,0.0714285714285714,0.0769230769230769,8,0.018348623853211,436,0.0186915887850467,219.7914449541285,47.18961959370904,0.0662634218762312,0-8
18,6-KURT İLE YEDİ KEÇİ YAVRUSU-OKUMA-ANLAMA.txt,96,1806,7.416666666666667,18.8125,77.56293539325841,15,0.15625,0.1851851851851852,5,0.0070224719101123,712,0.007072135785007,220.766015917603,45.7049531835206,0.1594869899975795,0-8
19,7-RAPUNZEL-OKUMA ANLAMA-ÇALIŞMASI-7.txt,74,1617,8.891891891891891,21.85135135135135,76.88923663024727,2,0.027027027027027,0.0277777777777777,8,0.0121580547112462,658,0.0123076923076923,218.5997297297297,46.32730276020701,0.0304513947308264,0-8
20,9- Bambi.txt,64,900,5.8125,14.0625,86.4567943548387,1,0.015625,0.0158730158730158,3,0.0080645161290322,372,0.008130081300813,221.4030544354839,50.30728830645161,0.0211209767503532,0-8
21,9-PİNOKYO-OKUMA-ANLAMA.txt,144,3154,8.4375,21.90277777777778,72.51345421810699,11,0.0763888888888889,0.0827067669172932,16,0.0131687242798353,1215,0.0133444537114261,220.2321226851852,43.17092988683126,0.0775513741371267,0-8
22,Ahmed Günbay Yıldız - Leyi Işıkları.txt,6835,123123,7.08983174835406,18.01360643745428,78.24524816917378,313,0.0457937088514996,0.0479914136767862,488,0.010070368765348,48459,0.010172812741031,221.1337046979118,45.91187638726803,0.0488832528763379,18+
23,Ahmed Ziyauddin - Kıyamet Alametleri.txt,1808,28443,7.182522123893805,15.73174778761062,92.08404425494302,482,0.2665929203539823,0.363499245852187,288,0.0221777298629293,12986,0.0226807371239565,218.0745244274297,54.92991679006935,0.2634489709081989,18+
24,Ahmet Altan - Kılıç Yarası Gibi.txt,3616,201539,20.69496681415929,55.73534292035398,36.61248996182975,369,0.1020464601769911,0.1136433631044041,1938,0.025897665468443,74833,0.0265861856094382,208.6139409969126,28.74042790603788,0.104587044650173,18+
25,Ahmet Altan - Kırar Göğsüne Bastırırken.txt,1593,63328,14.41933458882611,39.75392341494037,50.42856893909767,181,0.1136220966729441,0.1281869688385269,861,0.037483674357858,22970,0.0389434167081279,215.5234885834603,33.17599520436739,0.1135755059720302,18+
26,Ahmet Demirhan - Modernlik.txt,886,41758,23.08465011286682,47.13092550790068,56.55051409281797,15,0.0169300225733634,0.0172215843857634,127,0.0062093580403852,20453,0.0062481550723211,200.6764939622627,43.35127777614678,0.0186977489424646,18+
27,Ahmet Efe - Nasıl Öldürüldüler.txt,1743,70179,15.51118760757315,40.26333907056799,54.05609384179289,328,0.1881812966150316,0.2318021201413427,990,0.0366178428761651,27036,0.0380096751900483,213.0512843918952,36.30559033948234,0.1891585204867049,18+
28,Ahmet Günbay Yıldız - Günahın Rengi.txt,5411,102199,7.090556274256145,18.88726667898725,73.3036397836905,236,0.0436148586213269,0.0456038647342995,413,0.0107644590403211,38367,0.0108815935079306,222.1731686563192,42.71594112727791,0.0474642106768673,18+
29,Ahmet Karcılılar - Yağmur Hüznü.txt,3582,93050,9.629815745393635,25.97710776102736,65.31628237144439,179,0.0499720826353992,0.0526006464883926,527,0.0152780193656867,34494,0.0155150587334766,219.8821842266356,39.37068193725629,0.0523963143746407,18+
30,Ahmet Muhtar Büyükçınar - Hayat Kitabı 2.txt,3034,87933,10.98978246539222,28.9825313117996,64.19114516687983,147,0.0484508899143045,0.0509179078628333,537,0.0161053294544582,33343,0.0163689568981283,217.9912960293097,39.6183498318085,0.0509291760364724,18+
31,Ahmet Şerif İzgören - Dikkat Vucudunuz konusuyor.txt,2205,71041,16.03673469387755,32.21814058956916,76.25669420882801,80,0.036281179138322,0.0376470588235294,269,0.0076072509261615,35361,0.0076655648010942,207.5540339599316,51.04289569807391,0.0386846620888848,18+
32,Ahmet Talat Paşa - Talat Paşa'nın Hatıraları.txt,1689,90066,19.05565423327413,53.32504440497335,36.6646515703094,442,0.2616933096506809,0.3544506816359262,1063,0.0330278079850862,32185,0.0341559025769552,211.1678424741216,27.59834588210383,0.2609817613803786,18+
33,Ahmet Ümit - Agatha'nın Anahtarı.txt,4276,81464,7.249766136576239,19.05144995322732,74.32839425450375,254,0.059401309635173,0.0631526603679761,813,0.0262258064516129,31000,0.0269321230993474,221.7082757584719,43.49299424267478,0.0634046716611909,18+
