isbn,title,author,residual,segment
9786054182329,Zamanın Sahibi Zülkarneyn,Serhat Ahmet Tan,0.8551985601311554,ŞİRA YAYINLARI_pahali
9786054239443,Türk İslam Düşüncesi Tarihi,Ömer Bozkurt,0.4042766421092274,DİVAN KİTAP_pahali
9786055016197,İki Hayat Arasında,Jessica Shirvington,0.7129782134186238,YABANCI YAYINLARI_orta
9786059778893,Ruhun Hastalıkları ve Çareleri & Sufi Psikolojisi El Kitabı,Sülemi,0.7328262929359779,SUFİ KİTAP YAYINLARI_ucuz
9786053435914,Jojo Moyes Seti (2 Kitap),Jojo Moyes,0.7166201589235754,PEGASUS YAYINLARI_pahali
9789753638029,Kürk Mantolu Madonna,Sabahattin Ali,4.399777859813119,YAPI KREDİ YAYINLARI_ucuz
9786050830149,Sarılalım,Eoin McLaughlin,0.5918581679202708,TİMAŞ ÇOCUK YAYINLARI_ekonomik
9786051921808,Küçük Ama Büyük Yalanlar,Liane Moriarty,0.4870235265500389,HEP KİTAP_ekonomik
9789944699433,Öykülerle Atasözleri: Söz Kulağa Yazı Uzağa,Habib Bektaş,0.8967702062231413,TUDEM YAYINEVİ_orta
9786052071281,Edep Eğitimi - Mekteb-i Edeb,unknown,0.5775658703557753,BÜYÜYENAY_orta
9786055514235,Pratik İngilizce Konuşma Kılavuzu & Sözlük ve Dil Bilgisi Özet İlaveli,unknown,0.48882856997886437,POZİTİF YAYINLARI_ucuz
9789753637671,Lady Chatterley'in Sevgilisi,D.H. Lawrence,0.8242458041204372,YAPI KREDİ YAYINLARI_ekonomik
9786055365110,Can Boğazdan Çıkar,Mehmet Ali Bulut,1.748251126414031,HAYAT YAYINLARI_orta
9789750816062,Dağ Uykusu,Fazıl Hüsnü Dağlarca,1.6608091927835194,YAPI KREDİ YAYINLARI_ucuz
9789756794388,Fıkıh ve Hukuk Terimleri Sözlüğü,Prof.Dr. Mehmet Erdoğan,0.589446165162915,ENSAR NEŞRİYAT_pahali
9789750721700,Vicdan Zorbalığa Karşı,Stefan Zweig,1.720590247827226,CAN YAYINLARI_ekonomik
9786257014335,Kendini Aramak ,İhsan Fazlıoğlu,1.210029584830136,KETEBE YAYINEVİ_ucuz
9786059991216,Hadis Rivayet Tarihi,Prof. Dr. Mustafa Karataş,0.4746420601524579,ENSAR NEŞRİYAT_ekonomik
9786053608363,Arkadaşım İtfaiyeci - Dünyayı Öğreniyorum,Ralf Butschkow,0.755812261860803,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9786051712789,Ben Böyle Gördüm,Fehmi Koru,0.36385261396000956,ALFA YAYINLARI_ekonomik
9786055166731,Orta Doğu'da Modernleşme ve İslami Hareketler,Alev Erkilet,0.401121777705284,BÜYÜYENAY_orta
9786058267213,Küçük Sait Faik Abasıyanık ve Sinağrit Baba,Önder Yetişen,0.5582783788176329,TEFRİKA YAYINLARI_ucuz
9786058164253,Amatör Psikanalizi,Sigmund Freud,1.524548197613746,CEM YAYINEVİ_ucuz
9780628431066,Sanat Gezileri Set (5 Kitap),Serap Mamati Eratlı,0.4443768156872854,ERDEM ÇOCUK YAYINLARI_pahali
9786052952573,Avcının Notları (Karton Kapak),Ivan Sergeyeviç Turgenyev,0.41705929314312495,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9786055350949,İslamda Cihad,Prof. Dr. Seyyid Kutub,1.1585567987003769,ÖZGÜ YAYINLARI_ucuz
9786057635112,"Türk Askeri Kültürü (Kutulu) & Tarih, Strateji, İstihbarat, Teşkilat, Teknoloji ",Prof. Dr. Feridun M. Emecen,0.5908331621321317,KRONİK KİTAP_premium
9789755100876,Yaralısın,Erdal Öz,0.7376067854117689,CAN YAYINLARI_orta
9786058710900,Riyazü's-Salihin & Elçilerin Efendisi'nden Sözler,İmam Nevevi,0.699325001230211,KONEVİ YAYINLARI_orta
9789759953041,"Tevfik Fikret (Devir, Şahsiyet, Eser)",Mehmet Kaplan,0.6057948387508612,DERGAH YAYINLARI_ekonomik
9786052895436,KPSS 2020 Dünyada ve Türkiye de Güncel Olaylar,Hasan Solak,0.38335389172381884,YEDİİKLİM YAYINLARI_ucuz
9786059470377,Ben İbn-i Sina / Adam Olmuş Çocuklar Serisi 32,Suat Turgut,0.5720090878963378,GÜNEŞYOLU YAYINLARI_ucuz
9789758180844,Sahte Kahramanlar (kod10),Necip Fazıl Kısakürek,0.9748581046041878,BÜYÜK DOĞU YAYINLARI_ucuz
9786050830668,Dijital Dünyada E-Beveyn Olmak,Salih Uyan,1.3026953104095593,TİMAŞ YAYINLARI_ekonomik
9789753425148,Ba,Birhan Keskin,0.4705590624890732,METİS YAYINLARI_ucuz
9786055959463,Hz. Mevlana'dan Sözler,Mevlana,0.34589550757184817,RUMİ YAYINLARI_ucuz
9789750749407,Bir Dönem İki Kadın,Oya Baydar,0.3499743022097137,CAN YAYINLARI_pahali
9789754732221,Musab Bin Umeyr,Muharrem Ergül,0.6653134452624192,BEYAN YAYINLARI_ucuz
9786059521949,Dil İçgüdüsü & Zihin Dili Nasıl Meydana Getirir,Steven Pinker,0.35200051183348124,BİLGE KÜLTÜR SANAT_orta
9786051555539,Sözler,Konfüçyüs,0.4407977605132598,ÖTÜKEN NEŞRİYAT_ucuz
9786051234137,2. Sınıf Tüm Dersler Soru Bankası,Kolektif,0.8615263062315881,SINAV DERGİSİ YAYINLARI_orta
9786053327776,Theogonia - İşler ve Günler ( Karton Kapak ),Hesiodos,0.6917110518102856,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9789755390901,Ezilenlerin Pedagojisi,Paulo Freire,0.9875260111220365,AYRINTI YAYINLARI_orta
9786051850443,Yalnızlıklar,Hasan Ali Toptaş,0.34616428251523956,EVEREST YAYINLARI_ucuz
9786055011697,Bunları Kimseye Anlatamamıştım,Alişan Kapaklıkaya,0.6804655374145785,YEDİVEREN YAYINLARI_ekonomik
9786052473030,Sosyoloji,Memet Zencirkıran,0.7099192820118585,DORA YAYINLARI_orta
9789755706733,Kitap Evi,Enis Batur,2.452544624059688,SEL YAYINCILIK_ucuz
9789752695146,Üsame B. Zeyd & Peygamberimizin En Sevdiği Çocuk,Dr. Hilal Çelikkol Kara,0.5652873540519661,NESİL ÇOCUK YAYINLARI_ucuz
9786053498841,Rafadan Tayfa - Eyvah! Macera Peşimizde,Ayşenur Gönen,0.8541134680186726,ERDEM ÇOCUK YAYINLARI_ucuz
9789751029393,Memleket Hikayeleri (Özel Baskı),Refik Halid Karay,2.5087949195914563,İNKILAP KİTABEVİ_ekonomik
9786059916097,Siyah Sancak / Pandoranın Kutusu,Ali Kuzu,0.840675738780031,KARİYER YAYINCILIK_orta
9789756457887,Hz. Yusuf ve Züleyha,Mustafa Necati Bursalı,0.8418913558843828,ÇELİK YAYINEVİ_ekonomik
9789757574811,Namaz & Akılları Durduran Mucize,Kerim Buladı,0.8405221854476559,KAYIHAN YAYINLARI_ucuz
9789750715242,Genç Bir Romancıya Mektuplar,Mario Vargas Llosa,0.4554190263892304,CAN YAYINLARI_ekonomik
9786257548083,Daha Adil Bir Dünya Mümkün,Recep Tayyip Erdoğan,0.7212272398804318,TURKUVAZ KİTAP_ekonomik
9786051714820,Vulcan'ın Çekici,Philip K. Dick,0.5109989907036008,ALFA YAYINLARI_ekonomik
9789750824142,Ne Güzel Şey Hatırlamak Seni (Kitap+4 Cd) & Genco Erkal'ın Sesinden Nazım Hikmet Şiirleri,Nazım Hikmet,0.789715686152336,YAPI KREDİ YAYINLARI_orta
9789944884549,Bizans'ın Gizli Tarihi (ciltsiz),Prokopius,0.6521789700993343,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9786050801170,Çocuklarımıza Peygamberimizi Nasıl Anlatalım?,Salih Suruç,0.5456268036507987,TİMAŞ YAYINLARI_ekonomik
9789752564473,Emici Zihin,Maria Montessori,0.5581585840006653,KAKNÜS YAYINLARI_ekonomik
9786050913903,Sihirli Krallık 4 / Denizkızı Kayalıkları,Rosie Banks,0.43632511366303506,DOĞAN EGMONT ÇOCUK KİTAPLARI_ucuz
9789754344073,Açlık,Knut Hamsun,2.4403805641031706,VARLIK YAYINLARI_ucuz
9789755741529,Beytü'l-Hikme,Mustafa Demirci,0.36137015863360356,İNSAN YAYINLARI_ucuz
9789750739576,Notre-Dame’ın Kamburu (Beyaz Kapak),Victor Hugo,0.6282756964821479,CAN YAYINLARI_ekonomik
9786052198643,Corona ve  Virüs Savaşları,Kürşad Berkkan,1.5762062337853404,EFTALYA KİTAP_ekonomik
9789750807145,İnce Memed 1,Yaşar Kemal,2.767050702433826,YAPI KREDİ YAYINLARI_ekonomik
9786057976017,Paris’ten Çiçeklerle,Sarah Jio,0.5852917703653198,PENA YAYINLARI_orta
9789753621861,Yağmur,Prof. Dr. Nurullah Genç,1.2952363948758059,TİMAŞ YAYINLARI_ekonomik
9786051511825,Üst Akıl & Derin İktidarın Küresel Efendileri,Murat Akan,0.7542301591807083,HAYAT YAYINLARI_orta
9789754035278,100 Bilimsel Deney,G. Andrews,0.5223843337143395,TÜBİTAK YAYINLARI_ucuz
9789756247464,Ruhu'l Beyan 1,İsmail Hakkı Bursevi,1.0977624383921691,ERKAM YAYINLARI_pahali
9789759968946,Vefa Apartmanı,Sadık Yalsızuçanlar,0.9517573892862354,PROFİL KİTAP_ekonomik
9786053327233,Hareketli Külkedisi,Kolektif,1.3734125917476039,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ekonomik
9789756247594,Hazret-i Muhammed Mustafa (s.a.v.) Cilt 2 / Medine Devri,Osman Nuri Topbaş,0.9330552354370063,ERKAM YAYINLARI_orta
9789754941999,Türkçe'nin Gücü,Prof.Dr. Doğan Aksan,0.6675733838515354,BİLGİ YAYINEVİ_ekonomik
9786055432997,Osmanlı Türkçesi Kolay Okuma Metinleri -3,Metin Uçar,0.4433422737139301,HAYRAT VAKFI YAYINLARI_ekonomik
9786057558138,Suffa Meclisleri Sahabe Dersleri,Muhammed Emin Yıldırım,0.5170975753867788,SİYER YAYINLARI_orta
9786059548335,Allah'ın Güzel İsimleri (5 kitap),Özkan Öze,1.4153486264652537,UĞURBÖCEĞİ YAYINLARI_pahali
9786051313955,9 Ay 99 Esma,Ayşegül Akakuş Akgün,1.1959582282596166,NESİL YAYINLARI_ekonomik
9789752899414,Neslişah & Cumhuriyet Devrinde Bir Osmanlı Prensesi,Murat Bardakçı,0.3773863418939758,EVEREST YAYINLARI_orta
9786051148052,Levent Kapadokya'da,Mustafa Orakçı,0.49143052878235594,TİMAŞ ÇOCUK YAYINLARI_ucuz
9786054913022,Nebevi Bir Eylem Davet,Ramazan Kayan,0.37613122221785655,ÇIRA YAYINLARI_ucuz
9789750803314,Harry Potter ve Ateş Kadehi,J. K. Rowling,2.406583289294314,YAPI KREDİ YAYINLARI_orta
9789755707358,Çimen Yaprakları,Walt Whitman,0.3642749744006273,SEL YAYINCILIK_ekonomik
9789754736267,Kurban,Mahmut Aşkar,0.7402562090560436,BEYAN YAYINLARI_ekonomik
9789752444959,Benim Küçük Dostlarım,Halide Nusret Zorlutuna,1.104666611325266,PANAMA YAYINCILIK_ekonomik
9786059389341,Aklın Çocuk Hali & Zihin Gelişimi Araştırmaları,unknown,0.4528502603583999,KOÇ ÜNİVERSİTESİ YAYINLARI_ekonomik
9786052956588,Kalede 1 Başına,Sunay Akın,0.8446383154177459,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9789752430846,Türklerin Büyükleri & Asya’dan Avrupa’ya; Hazar’dan Akdeniz’e,Prof. Dr. Feridun M. Emecen,0.7650157006191689,KRONİK KİTAP_ekonomik
9789757544197,Çiçekler Susayınca,Ahmed Günbay Yıldız,0.8435228892595585,TİMAŞ YAYINLARI_orta
9786059778855,Erdemli İnsanın Yol Haritası,İbn Hazm,1.827595410902818,SUFİ KİTAP YAYINLARI_ucuz
9786052297063,Engelsiz Masallar,Ayşegül Sözen Dağ,1.1729302172031142,CEZVE ÇOCUK_ekonomik
9789752894662,El Kızı,Orhan Kemal,0.5416624384663153,EVEREST YAYINLARI_orta
